"Date","Source","Site ID","POC","Daily Mean PM10 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/30/2022","AQS","370510009","3","9","ug/m3 SC","8","William Owen School","1","100.0000","81102","PM10 Total 0-10um STP","22180","Fayetteville, NC","37","North Carolina","051","Cumberland","35.041416","-78.953112"
"01/31/2022","AQS","370510009","3","18","ug/m3 SC","17","William Owen School","1","100.0000","81102","PM10 Total 0-10um STP","22180","Fayetteville, NC","37","North Carolina","051","Cumberland","35.041416","-78.953112"
"02/01/2022","AQS","370510009","3","17","ug/m3 SC","16","William Owen School","1","100.0000","81102","PM10 Total 0-10um STP","22180","Fayetteville, NC","37","North Carolina","051","Cumberland","35.041416","-78.953112"
"02/02/2022","AQS","370510009","3","21","ug/m3 SC","19","William Owen School","1","100.0000","81102","PM10 Total 0-10um STP","22180","Fayetteville, NC","37","North Carolina","051","Cumberland","35.041416","-78.953112"
"02/03/2022","AQS","370510009","3","12","ug/m3 SC","11","William Owen School","1","100.0000","81102","PM10 Total 0-10um STP","22180","Fayetteville, NC","37","North Carolina","051","Cumberland","35.041416","-78.953112"
"02/04/2022","AQS","370510009","3","11","ug/m3 SC","10","William Owen School","1","100.0000","81102","PM10 Total 0-10um STP","22180","Fayetteville, NC","37","North Carolina","051","Cumberland","35.041416","-78.953112"
"02/05/2022","AQS","370510009","3","7","ug/m3 SC","6","William Owen School","1","100.0000","81102","PM10 Total 0-10um STP","22180","Fayetteville, NC","37","North Carolina","051","Cumberland","35.041416","-78.953112"
"02/06/2022","AQS","370510009","3","10","ug/m3 SC","9","William Owen School","1","100.0000","81102","PM10 Total 0-10um STP","22180","Fayetteville, NC","37","North Carolina","051","Cumberland","35.041416","-78.953112"
"02/07/2022","AQS","370510009","3","8","ug/m3 SC","7","William Owen School","1","100.0000","81102","PM10 Total 0-10um STP","22180","Fayetteville, NC","37","North Carolina","051","Cumberland","35.041416","-78.953112"
"02/08/2022","AQS","370510009","3","14","ug/m3 SC","13","William Owen School","1","100.0000","81102","PM10 Total 0-10um STP","22180","Fayetteville, NC","37","North Carolina","051","Cumberland","35.041416","-78.953112"
"02/09/2022","AQS","370510009","3","16","ug/m3 SC","15","William Owen School","1","100.0000","81102","PM10 Total 0-10um STP","22180","Fayetteville, NC","37","North Carolina","051","Cumberland","35.041416","-78.953112"
"02/10/2022","AQS","370510009","3","15","ug/m3 SC","14","William Owen School","1","100.0000","81102","PM10 Total 0-10um STP","22180","Fayetteville, NC","37","North Carolina","051","Cumberland","35.041416","-78.953112"
"02/11/2022","AQS","370510009","3","23","ug/m3 SC","21","William Owen School","1","100.0000","81102","PM10 Total 0-10um STP","22180","Fayetteville, NC","37","North Carolina","051","Cumberland","35.041416","-78.953112"
"02/12/2022","AQS","370510009","3","29","ug/m3 SC","27","William Owen School","1","100.0000","81102","PM10 Total 0-10um STP","22180","Fayetteville, NC","37","North Carolina","051","Cumberland","35.041416","-78.953112"
"02/13/2022","AQS","370510009","3","21","ug/m3 SC","19","William Owen School","1","100.0000","81102","PM10 Total 0-10um STP","22180","Fayetteville, NC","37","North Carolina","051","Cumberland","35.041416","-78.953112"
"02/14/2022","AQS","370510009","3","14","ug/m3 SC","13","William Owen School","1","100.0000","81102","PM10 Total 0-10um STP","22180","Fayetteville, NC","37","North Carolina","051","Cumberland","35.041416","-78.953112"
"02/15/2022","AQS","370510009","3","15","ug/m3 SC","14","William Owen School","1","100.0000","81102","PM10 Total 0-10um STP","22180","Fayetteville, NC","37","North Carolina","051","Cumberland","35.041416","-78.953112"
"02/16/2022","AQS","370510009","3","31","ug/m3 SC","29","William Owen School","1","100.0000","81102","PM10 Total 0-10um STP","22180","Fayetteville, NC","37","North Carolina","051","Cumberland","35.041416","-78.953112"
"02/17/2022","AQS","370510009","3","18","ug/m3 SC","17","William Owen School","1","100.0000","81102","PM10 Total 0-10um STP","22180","Fayetteville, NC","37","North Carolina","051","Cumberland","35.041416","-78.953112"
"02/18/2022","AQS","370510009","3","11","ug/m3 SC","10","William Owen School","1","100.0000","81102","PM10 Total 0-10um STP","22180","Fayetteville, NC","37","North Carolina","051","Cumberland","35.041416","-78.953112"
