"Date","Source","Site ID","POC","Daily Max 1-hour SO2 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"02/03/2022","AQS","370130151","1","-0.1","ppb","0","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"02/04/2022","AQS","370130151","1","6.4","ppb","9","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"02/05/2022","AQS","370130151","1","0","ppb","0","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"02/06/2022","AQS","370130151","1","0.1","ppb","0","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"02/07/2022","AQS","370130151","1","0","ppb","0","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"02/08/2022","AQS","370130151","1","0","ppb","0","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"02/09/2022","AQS","370130151","1","0","ppb","0","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"02/10/2022","AQS","370130151","1","3.3","ppb","4","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"02/11/2022","AQS","370130151","1","2.4","ppb","3","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"02/12/2022","AQS","370130151","1","3.7","ppb","4","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"02/13/2022","AQS","370130151","1","2.2","ppb","3","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"02/14/2022","AQS","370130151","1","0","ppb","0","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"02/15/2022","AQS","370130151","1","0.1","ppb","0","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"02/16/2022","AQS","370130151","1","0","ppb","0","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"02/17/2022","AQS","370130151","1","-0.1","ppb","0","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"02/18/2022","AQS","370130151","1","8.2","ppb","11","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"02/19/2022","AQS","370130151","1","0","ppb","0","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"02/20/2022","AQS","370130151","1","0","ppb","0","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"02/21/2022","AQS","370130151","1","2.2","ppb","3","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"02/22/2022","AQS","370130151","1","0","ppb","0","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"02/23/2022","AQS","370130151","1","2.6","ppb","3","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"02/24/2022","AQS","370130151","1","-0.2","ppb","0","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"02/25/2022","AQS","370130151","1","0.5","ppb","0","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"02/26/2022","AQS","370130151","1","-0.1","ppb","0","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"02/27/2022","AQS","370130151","1","-0.1","ppb","0","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"02/28/2022","AQS","370130151","1","0","ppb","0","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"03/01/2022","AQS","370130151","1","0","ppb","0","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"03/02/2022","AQS","370130151","1","1.7","ppb","1","Bayview Ferry","22","92.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"03/03/2022","AQS","370130151","1","0.3","ppb","0","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"03/04/2022","AQS","370130151","1","0","ppb","0","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"03/05/2022","AQS","370130151","1","0","ppb","0","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
