"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/29/2022","AQS","371190041","4","0.2","ppm","2","Garinger High School","24","100.0000","42101","Carbon monoxide","16740","Charlotte-Concord-Gastonia, NC-SC","37","North Carolina","119","Mecklenburg","35.2401000008895","-80.785683"
"01/30/2022","AQS","371190041","4","0.6","ppm","7","Garinger High School","24","100.0000","42101","Carbon monoxide","16740","Charlotte-Concord-Gastonia, NC-SC","37","North Carolina","119","Mecklenburg","35.2401000008895","-80.785683"
"01/31/2022","AQS","371190041","4","0.9","ppm","10","Garinger High School","24","100.0000","42101","Carbon monoxide","16740","Charlotte-Concord-Gastonia, NC-SC","37","North Carolina","119","Mecklenburg","35.2401000008895","-80.785683"
"02/01/2022","AQS","371190041","4","0.5","ppm","6","Garinger High School","24","100.0000","42101","Carbon monoxide","16740","Charlotte-Concord-Gastonia, NC-SC","37","North Carolina","119","Mecklenburg","35.2401000008895","-80.785683"
"02/02/2022","AQS","371190041","4","0.6","ppm","7","Garinger High School","24","100.0000","42101","Carbon monoxide","16740","Charlotte-Concord-Gastonia, NC-SC","37","North Carolina","119","Mecklenburg","35.2401000008895","-80.785683"
"02/03/2022","AQS","371190041","4","0.5","ppm","6","Garinger High School","24","100.0000","42101","Carbon monoxide","16740","Charlotte-Concord-Gastonia, NC-SC","37","North Carolina","119","Mecklenburg","35.2401000008895","-80.785683"
"02/04/2022","AQS","371190041","4","0.3","ppm","3","Garinger High School","24","100.0000","42101","Carbon monoxide","16740","Charlotte-Concord-Gastonia, NC-SC","37","North Carolina","119","Mecklenburg","35.2401000008895","-80.785683"
"02/05/2022","AQS","371190041","4","0.2","ppm","2","Garinger High School","24","100.0000","42101","Carbon monoxide","16740","Charlotte-Concord-Gastonia, NC-SC","37","North Carolina","119","Mecklenburg","35.2401000008895","-80.785683"
"02/06/2022","AQS","371190041","4","0.2","ppm","2","Garinger High School","24","100.0000","42101","Carbon monoxide","16740","Charlotte-Concord-Gastonia, NC-SC","37","North Carolina","119","Mecklenburg","35.2401000008895","-80.785683"
"02/07/2022","AQS","371190041","4","0.3","ppm","3","Garinger High School","24","100.0000","42101","Carbon monoxide","16740","Charlotte-Concord-Gastonia, NC-SC","37","North Carolina","119","Mecklenburg","35.2401000008895","-80.785683"
"02/08/2022","AQS","371190041","4","0.3","ppm","3","Garinger High School","24","100.0000","42101","Carbon monoxide","16740","Charlotte-Concord-Gastonia, NC-SC","37","North Carolina","119","Mecklenburg","35.2401000008895","-80.785683"
"02/09/2022","AQS","371190041","4","0.6","ppm","7","Garinger High School","24","100.0000","42101","Carbon monoxide","16740","Charlotte-Concord-Gastonia, NC-SC","37","North Carolina","119","Mecklenburg","35.2401000008895","-80.785683"
"02/10/2022","AQS","371190041","4","0.3","ppm","3","Garinger High School","24","100.0000","42101","Carbon monoxide","16740","Charlotte-Concord-Gastonia, NC-SC","37","North Carolina","119","Mecklenburg","35.2401000008895","-80.785683"
"02/11/2022","AQS","371190041","4","0.4","ppm","5","Garinger High School","24","100.0000","42101","Carbon monoxide","16740","Charlotte-Concord-Gastonia, NC-SC","37","North Carolina","119","Mecklenburg","35.2401000008895","-80.785683"
"02/12/2022","AQS","371190041","4","0.3","ppm","3","Garinger High School","24","100.0000","42101","Carbon monoxide","16740","Charlotte-Concord-Gastonia, NC-SC","37","North Carolina","119","Mecklenburg","35.2401000008895","-80.785683"
"02/13/2022","AQS","371190041","4","0.3","ppm","3","Garinger High School","24","100.0000","42101","Carbon monoxide","16740","Charlotte-Concord-Gastonia, NC-SC","37","North Carolina","119","Mecklenburg","35.2401000008895","-80.785683"
"02/14/2022","AQS","371190041","4","0.3","ppm","3","Garinger High School","17","71.0000","42101","Carbon monoxide","16740","Charlotte-Concord-Gastonia, NC-SC","37","North Carolina","119","Mecklenburg","35.2401000008895","-80.785683"
"02/15/2022","AQS","371190041","4","0.3","ppm","3","Garinger High School","24","100.0000","42101","Carbon monoxide","16740","Charlotte-Concord-Gastonia, NC-SC","37","North Carolina","119","Mecklenburg","35.2401000008895","-80.785683"
"02/16/2022","AQS","371190041","4","0.3","ppm","3","Garinger High School","18","75.0000","42101","Carbon monoxide","16740","Charlotte-Concord-Gastonia, NC-SC","37","North Carolina","119","Mecklenburg","35.2401000008895","-80.785683"
"02/17/2022","AQS","371190041","4","0.2","ppm","2","Garinger High School","24","100.0000","42101","Carbon monoxide","16740","Charlotte-Concord-Gastonia, NC-SC","37","North Carolina","119","Mecklenburg","35.2401000008895","-80.785683"
"02/18/2022","AQS","371190041","4","0.2","ppm","2","Garinger High School","24","100.0000","42101","Carbon monoxide","16740","Charlotte-Concord-Gastonia, NC-SC","37","North Carolina","119","Mecklenburg","35.2401000008895","-80.785683"
"02/19/2022","AQS","371190041","4","0.2","ppm","2","Garinger High School","24","100.0000","42101","Carbon monoxide","16740","Charlotte-Concord-Gastonia, NC-SC","37","North Carolina","119","Mecklenburg","35.2401000008895","-80.785683"
"02/20/2022","AQS","371190041","4","0.3","ppm","3","Garinger High School","24","100.0000","42101","Carbon monoxide","16740","Charlotte-Concord-Gastonia, NC-SC","37","North Carolina","119","Mecklenburg","35.2401000008895","-80.785683"
"02/21/2022","AQS","371190041","4","0.4","ppm","5","Garinger High School","24","100.0000","42101","Carbon monoxide","16740","Charlotte-Concord-Gastonia, NC-SC","37","North Carolina","119","Mecklenburg","35.2401000008895","-80.785683"
"02/22/2022","AQS","371190041","4","0.4","ppm","5","Garinger High School","24","100.0000","42101","Carbon monoxide","16740","Charlotte-Concord-Gastonia, NC-SC","37","North Carolina","119","Mecklenburg","35.2401000008895","-80.785683"
"02/23/2022","AQS","371190041","4","0.4","ppm","5","Garinger High School","24","100.0000","42101","Carbon monoxide","16740","Charlotte-Concord-Gastonia, NC-SC","37","North Carolina","119","Mecklenburg","35.2401000008895","-80.785683"
"02/24/2022","AQS","371190041","4","0.6","ppm","7","Garinger High School","24","100.0000","42101","Carbon monoxide","16740","Charlotte-Concord-Gastonia, NC-SC","37","North Carolina","119","Mecklenburg","35.2401000008895","-80.785683"
"02/25/2022","AQS","371190041","4","0.3","ppm","3","Garinger High School","24","100.0000","42101","Carbon monoxide","16740","Charlotte-Concord-Gastonia, NC-SC","37","North Carolina","119","Mecklenburg","35.2401000008895","-80.785683"
"02/26/2022","AQS","371190041","4","0.2","ppm","2","Garinger High School","24","100.0000","42101","Carbon monoxide","16740","Charlotte-Concord-Gastonia, NC-SC","37","North Carolina","119","Mecklenburg","35.2401000008895","-80.785683"
"02/27/2022","AQS","371190041","4","0.2","ppm","2","Garinger High School","24","100.0000","42101","Carbon monoxide","16740","Charlotte-Concord-Gastonia, NC-SC","37","North Carolina","119","Mecklenburg","35.2401000008895","-80.785683"
"02/28/2022","AQS","371190041","4","0.4","ppm","5","Garinger High School","24","100.0000","42101","Carbon monoxide","16740","Charlotte-Concord-Gastonia, NC-SC","37","North Carolina","119","Mecklenburg","35.2401000008895","-80.785683"
"03/01/2022","AQS","371190041","4","0.4","ppm","5","Garinger High School","24","100.0000","42101","Carbon monoxide","16740","Charlotte-Concord-Gastonia, NC-SC","37","North Carolina","119","Mecklenburg","35.2401000008895","-80.785683"
